date,LIUR0000SL00004
2004-01,849.6
2004-02,850.4
2004-03,840.1
2004-04,856.4
2004-05,868.4
2004-06,854.5
2004-07,831.7
2004-08,838.6
2004-09,842.8
2004-10,832.1
2004-11,842.9
2004-12,841.5
2005-01,840.6
2005-02,852.2
2005-03,849.9
2005-04,876.6
2005-05,878.3
2005-06,878.2
2005-07,867.0
2005-08,875.1
2005-09,890.9
2005-10,884.9
2005-11,868.9
2005-12,862.7
2006-01,868.1
2006-02,869.8
2006-03,875.8
2006-04,881.7
2006-05,888.9
2006-06,892.0
2006-07,875.4
2006-08,877.5
2006-09,888.7
2006-10,886.7
2006-11,894.2
2006-12,889.6
2007-01,875.2
2007-02,867.5
2007-03,862.7
2007-04,850.7
2007-05,860.2
2007-06,848.5
2007-07,845.1
2007-08,849.1
2007-09,870.3
2007-10,865.6
2007-11,869.1
2007-12,863.3
2008-01,874.3
2008-02,885.8
2008-03,879.1
2008-04,887.2
2008-05,894.1
2008-06,895.2
2008-07,881.6
2008-08,889.2
2008-09,902.9
2008-10,907.7
2008-11,918.3
2008-12,909.3
2009-01,906.7
2009-02,916.1
2009-03,912.9
2009-04,915.7
2009-05,920.3
2009-06,920.0
2009-07,914.1
2009-08,915.2
2009-09,920.6
2009-10,929.3
2009-11,934.9
2009-12,934.1
2010-01,920.0
2010-02,930.3
2010-03,925.6
2010-04,930.2
2010-05,930.0
2010-06,930.5
2010-07,920.3
2010-08,907.8
2010-09,918.1
2010-10,935.6
2010-11,933.0
2010-12,906.3
2011-01,925.7
2011-02,927.1
2011-03,937.5
2011-04,940.7
2011-05,935.6
2011-06,954.6
2011-07,950.1
2011-08,961.5
2011-09,971.2
2011-10,944.0
2011-11,942.6
2011-12,947.2
2012-01,939.0
2012-02,954.7
2012-03,952.4
2012-04,967.9
2012-05,974.3
2012-06,969.4
2012-07,971.3
2012-08,968.5
2012-09,974.8
2012-10,1001.8
2012-11,1007.0
2012-12,985.2
2013-01,988.3
2013-02,1006.1
2013-03,1005.3
2013-04,998.7
2013-05,995.0
2013-06,994.5
2013-07,999.0
2013-08,1001.5
2013-09,1003.1
2013-10,1011.7
2013-11,1009.7
2013-12,993.2
